id,created_at,text
1182375219161206784,2019-10-10 19:19:54,I don’t think I’ve ever seen anyone handle a situation so poorly lol https://t.co/q7xvIBna1T
1177698973836042241,2019-09-27 21:38:10,HAHAHHA omfy https://t.co/wpW0aTIdzR
1174049974205595648,2019-09-17 19:58:21,"Heres a video of me being extremely nervous before I got surprised lol 

https://t.co/iKCbVU6PYH"
1173025296276054016,2019-09-15 00:06:39,I think I scared the shit out of my delivery driver https://t.co/SKSNqpzYIx
1171251166203629568,2019-09-10 02:36:53,She changed the caption on me and now I’m really regretting my comment hahaha https://t.co/TRfHD4Sz2o
1165738638757384192,2019-08-25 21:32:04,Charlie Puth and Wayne Brady serenading the streets of LA https://t.co/Ecjft8pLVl
1163951937491832833,2019-08-20 23:12:21,I surprised my friend with a Lamborghini this morning and I haven’t stopped crying lol https://t.co/o7ln3DPvv7
1163934556182814720,2019-08-20 22:03:17,"Thank ya to EA for the chance to surprise Heath with a Lamborghini! Download the NFS Heat Studio App and send me pics of your customized car with the hashtag #NFSHeatStudio. I’m gonna pick 10, and FaceTime them personally! #EASponsored

https://t.co/hWEcyziV3L"
1160763186129149953,2019-08-12 04:01:24,This is nuts. I JUST WON A TEEN CHOICE AWARD. I’m sorry I completely blacked out and didn’t know what to say but thank you to anyone and everyone that ever supports anything any of us do!! Love y’all ❤️ https://t.co/P0RZN4VpX5
1155925486565879809,2019-07-29 19:38:06,OHH ITS OONNNNN https://t.co/47IULtsb81
1155188119957716992,2019-07-27 18:48:04,https://t.co/4dnBp498dF
1153762282398089217,2019-07-23 20:22:18,I’m taking my new photography job very seriously https://t.co/hbAT62kblk
1149184983115821056,2019-07-11 05:13:45,Still can’t wrap my head around how this turned into this https://t.co/SoUcFUgP5n
1144438899466358787,2019-06-28 02:54:30,People on flights love ginger ale
1141077628603867136,2019-06-18 20:18:01,My proudest accomplishment https://t.co/yG5wJdyInp
1139212996423479296,2019-06-13 16:48:38,@NASA Okay you convinced me. Where do I sign up
1139055216236437504,2019-06-13 06:21:40,Wow we really didn’t wanna give up this sandwich hahaha https://t.co/rxRlRBCezk
1138921222371065856,2019-06-12 21:29:14,I am heartbroken to announce that Lorraine and I have split. I wish her nothing but the best. We may have rushed into things but that’s what happens when two young people fall in love. Please respect our privacy at this time https://t.co/m3HuHzSmgG
